Customer_ID,Age,Gender,Marital_Status,Location,Urbanization_Level,Annual_Income,Property_Value,Premium_Amount,Policy_Term,Claim_Frequency,Claim_Amount_Last,Maintenance_Level,Flood_Risk_Index,Crime_Rate_Index,Building_Age,Customer_Satisfaction,Has_Security_System,Risk_Category,Expected_Claim_Cost,Construction_Type,Policy_Tenure,Payment_Method,Credit_Score,Fire_Risk_Score
CUST100056,73,Female,Married,Sabah,Suburban,20767.72,117136.03,934.03,15,0,1237.39,Moderate,46.52,72.45,1,4,No,1,0,Timber Structure,5,Bank Loan,597,11.12
CUST100057,22,Male,Married,Kedah,Suburban,52430.55,318717.24,2285.78,5,3,1058.14,Moderate,3.67,47.53,26,2,Yes,0,2128.54,Lightweight Concrete,3,Cash,621,27.71
CUST100058,40,Male,Married,Kedah,Rural,41184.16,125665.6,1021.31,10,3,3045.55,Low,29.37,15.53,16,3,Yes,1,10167.12,,4,Bank Loan,575,19.64
CUST100059,48,Female,Single,Johor,Suburban,36494.37,483885.29,3826.56,10,1,18.74,Moderate,15.85,57.61,16,2,No,0,12.51,Reinforced Concrete,10,Online Payment,689,23.95
CUST100060,67,Male,Single,Perak,Rural,21088.33,154274.05,895.71,5,0,1135.35,Low,15.27,58.3,42,2,Yes,1,0,Steel Frame,5,Mortgage,757,21.04
CUST100061,27,Male,Married,Sarawak,Rural,20000,100000,468.68,15,2,345.98,Low,22.46,41.12,14,3,No,1,859.85,Brick Wall,15,Bank Loan,771,20.68
CUST100062,64,Male,Single,Penang,Urban,138529.48,143646.95,612.26,10,5,737.16,Moderate,22.13,24.92,25,4,No,1,3499.01,Brick Wall,5,Online Payment,619,31.03
CUST100063,28,Male,Single,Sabah,Urban,67531.37,149556.95,1111.93,10,3,237.95,High,9.25,69.5,48,1,No,0,999.26,Brick Wall,10,Bank Loan,676,25.7
CUST100064,67,Female,Divorced,Pahang,Suburban,27664.96,100000,967.44,20,4,1113.7,Moderate,14.96,23.71,21,3,Yes,1,5417.95,Reinforced Concrete,5,Mortgage,690,17.79
CUST100065,55,Male,Married,Kuala Lumpur,Rural,26930.46,132093.71,878.22,5,4,2061.69,Low,44.4,5.17,43,3,Yes,1,7621.13,Timber Structure,1,Bank Loan,706,20.01
CUST100066,34,Male,Widowed,Perak,Suburban,34451.5,100000,930.02,15,2,2167.01,Low,18.8,7.81,15,1,Yes,1,2981.19,Reinforced Concrete,15,Financing Scheme,571,19.33
CUST100067,37,Male,Widowed,Penang,Urban,,195865.25,414.03,15,1,3186.58,Low,34.33,50.86,2,3,Yes,1,3006.01,Reinforced Concrete,15,Bank Loan,814,34.73
CUST100068,56,Female,Single,Kuala Lumpur,Suburban,24282.04,230917.94,1929.5,20,1,3374.92,Low,3.79,44.72,5,5,Yes,1,2393.85,Brick Wall,5,Mortgage,733,27.26
CUST100069,70,Male,Single,Sarawak,Rural,22588.43,100000,882.88,15,5,1821.28,Moderate,10.83,18.53,19,4,No,1,10490.09,Lightweight Concrete,10,Online Payment,736,63.46
CUST100070,60,Male,Married,Kuala Lumpur,Urban,85600.48,601149.77,4236.87,15,3,871.28,Moderate,39.26,39.69,41,1,Yes,0,1787.92,Reinforced Concrete,10,,758,39.09
CUST100071,24,Female,Married,Pahang,Suburban,20000,151205.65,1432.29,10,5,105.36,Low,5.34,77.08,11,4,Yes,1,713.63,Brick Wall,5,Financing Scheme,698,29.89
CUST100072,22,Female,Single,Kuala Lumpur,Urban,68482.06,151463.78,1017.73,10,3,73.06,Moderate,37.15,63.56,28,1,Yes,0,199.85,Timber Structure,10,Financing Scheme,558,21.42
CUST100073,26,Male,Married,Perak,Urban,67417.44,100000,392.43,20,3,240.41,Moderate,18.79,9.15,44,3,No,0,451.58,,1,Financing Scheme,637,34.45
CUST100074,74,Male,Single,Selangor,Suburban,33016.18,211310.35,787.29,5,2,8249.37,Low,39.78,35.68,45,3,Yes,1,20835.96,Steel Frame,5,Financing Scheme,501,42.4
CUST100075,62,Male,Divorced,Perak,Suburban,70053.78,128591.4,828.99,15,2,3083.35,High,15.5,56.4,2,4,No,0,5433.61,Timber Structure,3,Financing Scheme,687,50.23
CUST100076,24,Male,Single,Pahang,Rural,20000,168526.03,1559.18,10,3,1037.96,Moderate,3.41,49.51,33,2,No,0,3537.24,Reinforced Concrete,1,Bank Loan,635,38.52
CUST100077,74,Male,Single,Sabah,Rural,26573.28,106047.24,273.49,5,1,1255.47,Moderate,20.64,22.95,21,5,No,0,1620.39,Lightweight Concrete,5,Financing Scheme,646,17.78
CUST100078,49,Male,Single,Selangor,Urban,41122.74,125443.76,857.42,5,0,2674.1,Low,28.21,39.4,43,4,Yes,1,0,Reinforced Concrete,3,Bank Loan,758,35.12
CUST100079,38,Male,Widowed,Sarawak,Suburban,22773.38,337728.85,2755.34,5,3,1444.74,Moderate,30.78,11.69,28,3,Yes,0,2655.05,Timber Structure,5,Mortgage,609,11.46
CUST100080,46,Male,Married,Perak,Suburban,24756.79,182125.62,532.39,20,1,893.88,Moderate,5.78,69.07,40,4,No,0,637.57,Timber Structure,10,Mortgage,627,42.3
CUST100081,64,Female,Married,Selangor,Urban,64648.7,200670.17,588.8,15,1,860.21,High,32.47,37.84,17,4,Yes,0,678.23,Lightweight Concrete,1,Mortgage,652,40.76
CUST100082,54,Female,Married,Kedah,Suburban,38309.7,159047.59,783.95,10,4,470.54,Moderate,35.33,36.67,12,3,Yes,1,1918.48,Steel Frame,1,Financing Scheme,484,21.63
CUST100083,30,Female,Married,Perak,Rural,26458.37,144400.51,605.19,15,5,4336.31,High,35.99,7.03,41,2,No,1,29677,,1,Financing Scheme,626,25.15
CUST100084,56,Male,Single,Selangor,Urban,25600.79,111529.45,400,10,0,1069.4,Moderate,29.46,14.92,31,1,Yes,0,0,Brick Wall,10,Mortgage,426,15.32
CUST100085,34,Male,Married,Johor,Suburban,45063.51,190195.57,682.72,15,3,2791.58,Low,25.97,67.43,25,2,Yes,1,10781.99,Timber Structure,1,Bank Loan,597,27.81
CUST100086,51,Female,Married,Sabah,Urban,35128.32,129954.32,395.76,15,0,1705.52,High,29.86,44.12,20,3,Yes,0,0,Timber Structure,1,Online Payment,727,54.48
CUST100087,68,Male,Married,Penang,Urban,37882.33,251694.56,1733.38,5,3,2805.61,Low,10.19,29.97,44,4,Yes,1,11063.68,Brick Wall,3,Bank Loan,690,42.36
CUST100088,35,Male,Single,Kuala Lumpur,Rural,82037.87,110161.89,826.77,10,5,774,Moderate,18.59,28.41,23,,No,1,4534.42,Steel Frame,3,Online Payment,,43.74
CUST100089,28,Female,Divorced,Selangor,Urban,23355.69,168404.03,1283.83,10,0,2788.72,High,3.75,30.92,6,1,Yes,0,0,Lightweight Concrete,10,,654,20.02
CUST100090,34,Female,Single,Penang,Urban,20000,448541.78,2807.35,20,0,3120.99,High,23.31,82.56,16,,No,1,0,Steel Frame,15,Financing Scheme,,27.88
CUST100091,43,Female,Widowed,Perak,Suburban,23523.7,271060.01,2608.48,15,1,220.26,Moderate,29.17,44.58,3,2,Yes,0,281.98,Timber Structure,10,Financing Scheme,650,37.78
CUST100092,60,Male,Single,Penang,Urban,57494.98,100000,904.43,15,0,191.84,Low,36.25,21.85,49,1,Yes,1,0,Steel Frame,15,Online Payment,850,37.79
CUST100093,41,Male,Married,Kedah,Rural,20000,203151.25,1962.65,15,0,8466.62,Moderate,61.37,31.76,27,5,No,1,0,Reinforced Concrete,5,Cash,816,24.56
CUST100094,36,Female,Married,Negeri Sembilan,Urban,23354.92,156870.2,801.66,10,5,251.02,Moderate,37.1,17.06,11,2,No,1,1061.88,Lightweight Concrete,1,Online Payment,655,37.93
CUST100095,65,Male,Married,Negeri Sembilan,Suburban,50141.24,102800.8,927.5,15,3,2309.36,High,41.93,30.09,3,1,Yes,0,5589.05,,3,Bank Loan,664,24.27
CUST100096,38,Female,Married,Sabah,Suburban,32197.45,100000,810.3,10,1,2755.17,High,21.77,42.68,23,4,Yes,0,2651.97,Timber Structure,5,Financing Scheme,562,38.12
CUST100097,67,Female,Married,Selangor,Rural,41955.28,100000,471.98,10,0,131.23,High,26.1,24.95,46,5,Yes,0,0,Brick Wall,10,Financing Scheme,578,37.98
CUST100098,73,Female,Married,Kedah,Suburban,37165.6,104262.97,297.44,15,1,2744.87,High,58.66,33.05,39,4,Yes,0,1844.08,Reinforced Concrete,5,Mortgage,683,12.04
CUST100099,44,Male,Married,Kuala Lumpur,Urban,38988.71,129690.48,967.62,5,1,1087.78,Moderate,26.14,64.77,8,3,No,0,1456.91,Brick Wall,1,Mortgage,603,12.86
CUST100100,46,Male,Married,Sarawak,Suburban,,100000,309.16,10,2,642.27,Moderate,32,39.61,17,5,Yes,0,1652.45,Lightweight Concrete,3,Cash,731,27.24
CUST100101,45,Female,Married,Pahang,Urban,41825.32,100000,435.02,10,3,2189.22,Moderate,54.61,30.26,10,1,Yes,0,5411.04,Lightweight Concrete,10,Bank Loan,791,39.97
CUST100102,65,Female,Single,Sabah,Suburban,20000,172187.01,1033.62,10,2,3581.01,Low,60.15,8.58,26,3,No,1,6241.6,Lightweight Concrete,5,Cash,680,13.39
CUST100103,61,Female,Married,Pahang,Urban,20000,166882.47,1241.45,20,1,1700.98,Moderate,37.7,41.31,31,3,No,0,1089.62,Timber Structure,3,Financing Scheme,659,30.21
CUST100104,49,Male,Married,Negeri Sembilan,Suburban,26894.08,193410.03,1819.95,20,5,4090.12,Moderate,32.7,51.03,40,4,Yes,1,24207.27,Timber Structure,10,Cash,499,62.5
CUST100105,35,Male,Married,Johor,Urban,63491.09,188930.9,1274.51,10,5,45.22,Low,43.98,40.95,21,1,No,1,166.73,Steel Frame,5,Online Payment,717,14.38
CUST100106,65,Female,Married,Sarawak,Suburban,29333.86,100000,737.13,10,0,2683.44,Moderate,15.71,26.84,26,2,No,0,0,Lightweight Concrete,3,Financing Scheme,547,34.42
CUST100107,21,Female,Married,Sarawak,Rural,32046.89,145880.86,653.56,15,3,371.22,Low,6.3,37.23,32,3,Yes,1,1022.75,Timber Structure,10,Bank Loan,612,45.78
CUST100108,45,Female,Single,Pahang,Rural,20000,100000,749.83,10,4,673.95,Moderate,44.78,53.54,15,5,No,1,2494.36,Brick Wall,5,Bank Loan,736,11.99
CUST100109,27,Male,Single,Johor,Urban,48133.59,269851.94,1484.81,5,3,1698.44,Moderate,24.52,46.16,27,5,Yes,0,6324.53,Timber Structure,3,Mortgage,743,28.51
CUST100110,29,Female,Single,Perak,Suburban,43865.28,100000,885.54,15,2,641.64,Low,45.09,21.67,22,,Yes,1,1278.14,Reinforced Concrete,15,Bank Loan,608,21.17
CUST100111,44,Female,Married,Penang,Urban,22740.51,138494.13,711.8,15,3,368.22,High,26.21,73.31,38,3,No,1,711.97,Brick Wall,5,Bank Loan,613,15
CUST100112,21,Female,Married,Sabah,Rural,32115.7,100000,574.62,5,0,4334.33,Moderate,8.46,60.34,27,2,Yes,0,0,Steel Frame,5,Online Payment,587,56.19
CUST100113,64,Male,Widowed,Kedah,Urban,27630.43,228023.14,1245.17,15,3,4744.37,Moderate,57.55,41.02,19,5,Yes,0,12033.35,Reinforced Concrete,6,Bank Loan,,27.72
CUST100114,28,Male,Married,Sarawak,Rural,,124408.24,1056.1,10,4,74.1,Low,21.25,53.38,8,5,Yes,1,258.43,Timber Structure,5,Mortgage,593,40.62
CUST100115,44,Female,Single,Pahang,Suburban,20000,147951.55,1424.71,5,5,1386.78,Moderate,33.81,46.54,42,1,Yes,1,5306.76,Lightweight Concrete,1,Cash,505,27.71
CUST100116,31,Male,Divorced,Penang,Urban,77332.02,501398.24,2315.56,15,2,455.51,Moderate,15.67,37.87,27,3,Yes,0,628.04,Steel Frame,3,,711,33.32
CUST100117,71,Male,Divorced,Negeri Sembilan,Rural,22809.83,100000,580.02,5,2,3981.53,Low,14.35,40.2,37,,Yes,1,6409.85,Lightweight Concrete,5,Bank Loan,686,12.98
CUST100118,37,Female,Married,Kedah,Rural,20000,100000,764.74,10,1,1241.73,Moderate,49.55,48.93,34,5,No,0,1616.08,Reinforced Concrete,3,Online Payment,700,38.14
CUST100119,28,Male,Married,Pahang,Rural,20000,100000,916.31,15,2,1301.93,Moderate,45.03,36.9,29,4,No,0,3378.24,Reinforced Concrete,1,Mortgage,,
CUST100120,55,Female,Widowed,Sabah,Suburban,29624.64,100000,594.96,20,4,1974.89,Moderate,21.22,31.49,35,1,No,1,10712.19,Reinforced Concrete,5,Cash,542,35.99
CUST100121,55,Male,Married,Kuala Lumpur,Urban,75299.16,159008.43,456.54,10,4,114.46,Moderate,16.83,38.17,41,3,Yes,1,287.24,Lightweight Concrete,10,Bank Loan,655,38.6
CUST100122,53,Female,Divorced,Sarawak,Rural,47290.2,160686.35,795.3,20,5,272.32,High,38.99,53.38,24,2,Yes,1,1797.87,Lightweight Concrete,3,Cash,656,28.77
CUST100123,25,Female,Single,Negeri Sembilan,Suburban,61975.31,108968.68,697.72,5,2,1379.85,Moderate,32.82,55.27,48,3,No,0,2453.96,Reinforced Concrete,3,Bank Loan,637,
CUST100124,62,Male,Single,Sabah,Suburban,20000,124012.54,662.25,5,5,6804.81,High,20.51,43.19,2,,Yes,1,38068.09,,2,Mortgage,624,17.28
CUST100125,59,Male,Married,Selangor,Urban,78506.63,100000,349.24,5,3,3710.75,Moderate,13.57,52.24,40,4,Yes,0,12199.37,Steel Frame,5,Online Payment,804,28.99
CUST100126,61,Male,Married,Negeri Sembilan,Urban,43307.38,109287.49,250.91,5,4,4402.97,Low,45.43,37.78,47,4,Yes,1,12986.29,Brick Wall,5,Online Payment,688,42.21
CUST100127,48,Male,Married,Kedah,Suburban,20000,116283.93,872.04,10,2,295.04,Low,9.8,12.78,16,2,No,1,435.29,Steel Frame,1,Online Payment,827,27.61
CUST100128,27,Female,Widowed,Selangor,Suburban,38624.57,282748.17,2811.05,20,2,6370.1,Low,34.48,34.39,49,4,No,1,9818.98,Reinforced Concrete,5,Mortgage,764,16.51
CUST100129,29,Female,Married,Negeri Sembilan,Rural,20000,100000,935.37,5,3,2618.61,Moderate,4.6,59.84,1,3,Yes,0,6402.71,Steel Frame,5,Online Payment,803,31.55
CUST100130,28,Male,Single,Pahang,Suburban,26587.26,116673.55,871.1,10,5,788.12,Moderate,40.59,63.53,35,3,No,1,3528.98,Reinforced Concrete,10,Cash,553,33.53
CUST100131,32,Male,Married,Kuala Lumpur,Urban,33996.68,392338.89,3426,15,2,3997.08,Low,9.34,22.81,5,3,No,1,7706.44,Brick Wall,3,Cash,703,25.27
CUST100132,54,Male,Married,Penang,Urban,26295.8,156338.67,632.52,10,0,2751.18,Moderate,29.72,21.04,11,3,Yes,0,0,Steel Frame,1,Financing Scheme,611,16.36
CUST100133,53,Female,Single,Kuala Lumpur,Rural,43927.06,100000,697.95,15,1,2667.48,Moderate,13.26,77.28,25,2,Yes,1,2858.02,Lightweight Concrete,15,Mortgage,500,12.92
CUST100134,68,Male,Married,Kuala Lumpur,Urban,62648.37,431947.84,1073.32,10,4,2653.19,Moderate,17.39,60.48,8,4,No,1,7701.95,Steel Frame,3,,785,78.65
CUST100135,43,Female,Married,Pahang,Rural,20025.38,164517.71,1259.79,5,3,3227.43,Moderate,39.64,53.32,15,2,No,0,13031.2,Brick Wall,1,Cash,624,11.53
CUST100136,44,Female,Married,Johor,Suburban,69553.01,271484.31,2649.41,15,3,5933.48,Moderate,26.47,20.27,39,4,Yes,0,22603.38,Lightweight Concrete,15,Bank Loan,555,21.92
CUST100137,57,Female,Married,Negeri Sembilan,Suburban,29069.53,100000,888.64,5,1,294.38,Moderate,25.99,34.46,3,,Yes,0,188.83,Timber Structure,1,Mortgage,613,42.37
CUST100138,55,Male,Married,Penang,Urban,36443.32,416045.3,2610.9,10,0,15293.59,High,18.88,52.73,28,3,No,0,0,Timber Structure,10,Online Payment,578,36.39
CUST100139,64,Female,Widowed,Perak,Rural,36663.54,,830.99,10,1,4116.76,Moderate,11.21,17.51,28,2,No,0,5153.15,Steel Frame,3,Bank Loan,588,73.24
CUST100140,60,Male,Married,Pahang,Urban,27371.7,126156.76,1204.95,10,2,1165.46,Moderate,14.86,54.22,13,,No,0,2055.79,Timber Structure,10,,630,78.13
CUST100141,42,Male,Married,Johor,Urban,43387.25,137438.66,512.39,15,5,342.62,Moderate,18.99,54.39,6,4,Yes,1,1608.16,Steel Frame,5,Bank Loan,806,12.83
CUST100142,47,Female,Single,Pahang,Rural,,,1526.65,10,3,1209.5,Moderate,6.31,53.79,4,4,No,0,5067.58,Steel Frame,1,Mortgage,590,27.51
CUST100143,55,Female,Married,Johor,Urban,42078,178514.01,742.4,10,5,3015.67,High,26.39,17.37,37,3,Yes,1,18160.47,Steel Frame,10,Bank Loan,799,15.64
CUST100144,21,Male,Single,Kuala Lumpur,Suburban,20000,260923.42,2352.38,10,5,1844.89,Moderate,24.17,63.75,34,5,Yes,1,7578.62,Reinforced Concrete,10,Cash,726,27.22
CUST100145,55,Male,Single,Sarawak,Rural,20000,118335.08,329.78,10,5,655.76,Moderate,23.33,37.66,5,2,Yes,1,3449.94,Lightweight Concrete,3,Cash,686,19.77
